combo,fold,max_depth,min_samples_leaf,ccp_alpha,cv_acc,cv_macro_f1,fit_seconds
40,5,30,5,0.001,0.7450700200057159,0.7451984145685541,2.2930917739868164
41,1,30,5,0.005,0.7385714285714285,0.7339989273946173,2.0870449542999268
41,2,30,5,0.005,0.7311428571428571,0.7228577021808882,2.313361883163452
41,3,30,5,0.005,0.727350671620463,0.7236624041931564,2.2697269916534424
41,4,30,5,0.005,0.7216347527865105,0.7160762790800965,2.2148797512054443
41,5,30,5,0.005,0.7362103458130894,0.733203531590051,2.3671140670776367
42,1,30,10,0.0,0.7442857142857143,0.7444635105267476,1.869549036026001
42,2,30,10,0.0,0.7402857142857143,0.7406838903331663,2.1134021282196045
42,3,30,10,0.0,0.7359245498713918,0.73710547556641,2.096531867980957
42,4,30,10,0.0,0.727350671620463,0.7277143260451482,1.9254467487335205
42,5,30,10,0.0,0.7284938553872535,0.7291618564446787,1.8978309631347656
43,1,30,10,0.001,0.7588571428571429,0.7600857224058843,1.8501639366149902
43,2,30,10,0.001,0.744,0.7357219682434248,2.0259828567504883
43,3,30,10,0.001,0.7510717347813661,0.7514180684971082,2.092207193374634
43,4,30,10,0.001,0.7387825092883681,0.7382410470454777,1.92169189453125
43,5,30,10,0.001,0.7450700200057159,0.7451984145685541,1.9245669841766357
44,1,30,10,0.005,0.7385714285714285,0.7339989273946173,1.8183298110961914
44,2,30,10,0.005,0.7311428571428571,0.7228577021808882,2.024451971054077
44,3,30,10,0.005,0.727350671620463,0.7236624041931564,2.0954418182373047
44,4,30,10,0.005,0.7216347527865105,0.7160762790800965,1.9252259731292725
44,5,30,10,0.005,0.7362103458130894,0.733203531590051,1.9219930171966553
45,1,30,20,0.0,0.7454285714285714,0.745865655628517,1.684014081954956
45,2,30,20,0.0,0.7417142857142857,0.7422756549478968,1.845452070236206
45,3,30,20,0.0,0.7422120605887397,0.7431973145222113,1.7281053066253662
45,4,30,20,0.0,0.731923406687625,0.7323299542102915,1.6633269786834717
45,5,30,20,0.0,0.7484995713060875,0.7496014749197881,1.6887328624725342
46,1,30,20,0.001,0.7588571428571429,0.7600857224058843,1.68229079246521
46,2,30,20,0.001,0.7434285714285714,0.7351541887813753,1.7999308109283447
46,3,30,20,0.001,0.7507859388396685,0.7513281596716403,1.7355809211730957
46,4,30,20,0.001,0.7382109174049728,0.7376823321669188,1.6622340679168701
46,5,30,20,0.001,0.7444984281223207,0.7446400822269298,1.7018790245056152
47,1,30,20,0.005,0.7385714285714285,0.7339989273946173,1.6778168678283691
47,2,30,20,0.005,0.7311428571428571,0.7228577021808882,1.8005759716033936
47,3,30,20,0.005,0.727350671620463,0.7236624041931564,1.7345190048217773
47,4,30,20,0.005,0.7216347527865105,0.7160762790800965,1.6558098793029785
47,5,30,20,0.005,0.7362103458130894,0.733203531590051,1.6989741325378418
