feature,mean_abs_shap_overall,mean_abs_shap_Benign/Likely benign,mean_abs_shap_Pathogenic/Likely pathogenic
genocanyon_score,0.009573038981521563,0.009573038981521563,0.009573038981521563
chasmplus_ucec_pval,0.00951337101088839,0.00951337101088839,0.00951337101088839
chasmplus_skcm_pval,0.009258393676996584,0.009258393676996584,0.009258393676996584
bayesdel_bayesdel_noaf_score,0.009053696459250422,0.009053696459250422,0.009053696459250422
allofus250k_gvs_afr_af,0.008976029386017876,0.008976029386017876,0.008976029386017876
allofus250k_gvs_all_ac,0.00873075349870667,0.00873075349870667,0.00873075349870667
varity_r_varity_r,0.008369189213005581,0.008369189213005581,0.008369189213005581
phylop_phylop17_primate,0.008320630125457923,0.008320630125457923,0.008320630125457923
allofus250k_gvs_all_an,0.00805456763833694,0.00805456763833694,0.00805456763833694
phdsnpg_fdr,0.007668780637628556,0.007668780637628556,0.007668780637628556
cscape_score,0.007586424527422356,0.007586424527422356,0.007586424527422356
chasmplus_esca_pval,0.007549952068221434,0.007549952068221434,0.007549952068221434
metasvm_score,0.007499032659589797,0.007499032659589797,0.007499032659589797
siphy_logodds,0.007459478730220505,0.007459478730220505,0.007459478730220505
original_input_pos,0.007409621779728099,0.007409621779728099,0.007409621779728099
gnomad3_af_lat,0.007337476026579514,0.007337476026579514,0.007337476026579514
allofus250k_gvs_eur_ac,0.007309131207978043,0.007309131207978043,0.007309131207978043
varity_r_varity_r_loo,0.007223823204967601,0.007223823204967601,0.007223823204967601
chasmplus_laml_pval,0.007034379052191485,0.007034379052191485,0.007034379052191485
provean_rankscore,0.006932964539661711,0.006932964539661711,0.006932964539661711
chasmplus_coad_pval,0.006866643292873369,0.006866643292873369,0.006866643292873369
allofus250k_gvs_eur_af,0.006785747508744297,0.006785747508744297,0.006785747508744297
lrt_lrt_converted_rankscore,0.00659369778637849,0.00659369778637849,0.00659369778637849
chasmplus_gbm_pval,0.006540386171594624,0.006540386171594624,0.006540386171594624
