task,model,group,n_dropped,baseline_f1,ablated_f1,delta
2class,CosineSimilarity,functional,4,0.8991136432551754,0.8988888888888888,0.00022475436628655032
2class,HistGradientBoosting,position,2,0.9871998495329252,0.9869712543159436,0.00022859521698159746
2class,LinearSVC,position,2,0.9867423522050486,0.9865137333168024,0.00022861888824621257
2class,SGDClassifier,position,2,0.9846853942417082,0.9853712076945776,-0.0006858134528694437
2class,DecisionTree,position,2,0.9821710923109525,0.9821710923109525,0.0
2class,LDA,position,2,0.9801116880572156,0.9801116880572156,0.0
2class,RidgeClassifier,position,2,0.9796544854838184,0.9796544854838184,0.0
2class,KNN,position,2,0.9652556162598284,0.9654844952826154,-0.00022887902278700967
2class,QDA,position,2,0.965025932927851,0.965025932927851,0.0
2class,NearestCentroid,position,2,0.8995711777528844,0.8995711777528844,0.0
2class,CosineSimilarity,position,2,0.8991136432551754,0.8991109211202315,2.7221349438999454e-06
5class,HistGradientBoosting,ditto,1,0.7983976382448654,0.7982708967205717,0.00012674152429370533
5class,DecisionTree,ditto,1,0.7292430588439925,0.7297733844650613,-0.0005303256210688057
5class,LinearSVC,ditto,1,0.7185925261309196,0.7168828784087069,0.0017096477222127149
5class,SGDClassifier,ditto,1,0.6782762437007495,0.672618935055849,0.005657308644900438
5class,AdaBoost,ditto,1,0.672985020891321,0.666511949810656,0.006473071080664972
5class,LDA,ditto,1,0.6640918979978673,0.6583695965416221,0.0057223014562451935
5class,RidgeClassifier,ditto,1,0.6573712559773094,0.6540057352869681,0.0033655206903412394
5class,QDA,ditto,1,0.612348490793616,0.6042242456026103,0.00812424519100563
5class,KNN,ditto,1,0.6078104042796253,0.6067216053143827,0.00108879896524261
5class,NearestCentroid,ditto,1,0.4528481796843914,0.4501066439907976,0.0027415356935938107
5class,CosineSimilarity,ditto,1,0.4527572320411749,0.4518248254988969,0.000932406542277997
5class,HistGradientBoosting,alphamissense,1,0.7983976382448654,0.8011888382479541,-0.002791200003088634
5class,DecisionTree,alphamissense,1,0.7292430588439925,0.7292430588439925,0.0
5class,LinearSVC,alphamissense,1,0.7185925261309196,0.7191031658443395,-0.0005106397134199137
5class,SGDClassifier,alphamissense,1,0.6782762437007495,0.6779257733138814,0.00035047038686808474
5class,AdaBoost,alphamissense,1,0.672985020891321,0.6755714280437842,-0.002586407152463277
5class,LDA,alphamissense,1,0.6640918979978673,0.6641455134056663,-5.361540779902363e-05
5class,RidgeClassifier,alphamissense,1,0.6573712559773094,0.6567095266051702,0.0006617293721391526
5class,QDA,alphamissense,1,0.612348490793616,0.6128890506583937,-0.0005405598647777454
5class,KNN,alphamissense,1,0.6078104042796253,0.6071850744299162,0.0006253298497090887
5class,NearestCentroid,alphamissense,1,0.4528481796843914,0.4524629835729064,0.00038519611148502
5class,CosineSimilarity,alphamissense,1,0.4527572320411749,0.4512831753088998,0.0014740567322751308
5class,HistGradientBoosting,revel,2,0.7983976382448654,0.802804504915053,-0.004406866670187526
5class,DecisionTree,revel,2,0.7292430588439925,0.7292430588439925,0.0
5class,LinearSVC,revel,2,0.7185925261309196,0.7166877791631455,0.0019047469677740958
5class,SGDClassifier,revel,2,0.6782762437007495,0.6794325037457416,-0.0011562600449921412
5class,AdaBoost,revel,2,0.672985020891321,0.672985020891321,0.0
5class,LDA,revel,2,0.6640918979978673,0.6661849424147712,-0.002093044416903944
5class,RidgeClassifier,revel,2,0.6573712559773094,0.6597586590003904,-0.0023874030230810472
5class,QDA,revel,2,0.612348490793616,0.6112725442911789,0.0010759465024370307
5class,KNN,revel,2,0.6078104042796253,0.6099002079386532,-0.002089803659027889
5class,NearestCentroid,revel,2,0.4528481796843914,0.4516233203662018,0.0012248593181896084
5class,CosineSimilarity,revel,2,0.4527572320411749,0.4513173392410598,0.0014398928001150835
5class,HistGradientBoosting,cadd,4,0.7983976382448654,0.7984590910056006,-6.145276073521444e-05
5class,DecisionTree,cadd,4,0.7292430588439925,0.7292430588439925,0.0
5class,LinearSVC,cadd,4,0.7185925261309196,0.7165449761660216,0.0020475499648979767
5class,SGDClassifier,cadd,4,0.6782762437007495,0.6843642104402827,-0.006087966739533268
5class,AdaBoost,cadd,4,0.672985020891321,0.672985020891321,0.0
5class,LDA,cadd,4,0.6640918979978673,0.6638696863749186,0.0002222116229486648
5class,RidgeClassifier,cadd,4,0.6573712559773094,0.6586588788579932,-0.0012876228806838474
5class,QDA,cadd,4,0.612348490793616,0.6091142678781083,0.0032342229155076785
5class,KNN,cadd,4,0.6078104042796253,0.6103630051489908,-0.0025526008693654845
5class,NearestCentroid,cadd,4,0.4528481796843914,0.4532708582000547,-0.0004226785156632995
5class,CosineSimilarity,cadd,4,0.4527572320411749,0.4532881102431602,-0.0005308782019852742
5class,HistGradientBoosting,metarnn,2,0.7983976382448654,0.7939322885134967,0.004465349731368695
5class,DecisionTree,metarnn,2,0.7292430588439925,0.7271793219078967,0.00206373693609585
5class,LinearSVC,metarnn,2,0.7185925261309196,0.7175178590578627,0.001074667073056923
5class,SGDClassifier,metarnn,2,0.6782762437007495,0.6811843794267098,-0.0029081357259603813
5class,AdaBoost,metarnn,2,0.672985020891321,0.6612995219828156,0.011685498908505343
5class,LDA,metarnn,2,0.6640918979978673,0.6598434080129348,0.004248489984932435
5class,RidgeClassifier,metarnn,2,0.6573712559773094,0.6570840986876274,0.00028715728968198295
5class,QDA,metarnn,2,0.612348490793616,0.6105732486406208,0.0017752421529951823
5class,KNN,metarnn,2,0.6078104042796253,0.6062825852086788,0.0015278190709464567
5class,NearestCentroid,metarnn,2,0.4528481796843914,0.4486543658329937,0.004193813851397721
